Open,High,Low,Close,Volume,Date,POSITIONS,COST,ASSETS,PERCENTAGE
77.52,77.6,75.36,76.24,4055813,2017-08-28,0.0,0.0,0.0,0.0
75.84,76.0,74.72,75.68,2447818,2017-08-29,0.0,0.0,0.0,0.0
75.2,76.32,74.88,75.04,2353951,2017-08-30,0.0,0.0,0.0,0.0
75.92,77.52,75.92,77.04,3174543,2017-08-31,0.0,0.0,0.0,0.0
76.8,77.36,76.08,77.36,2000798,2017-09-01,0.0,0.0,0.0,0.0
79.28,80.0,79.12,79.36,3074722,2017-09-05,0.0,0.0,0.0,0.0
80.16,80.72,79.68,80.32,2573199,2017-09-06,0.0,0.0,0.0,0.0
79.84,80.48,79.68,80.24,2599589,2017-09-07,0.0,0.0,0.0,0.0
79.92,80.16,77.32,77.84,3009028,2017-09-08,0.0,0.0,0.0,0.0
77.32,78.87899999999998,76.903,78.56,2050631,2017-09-11,12.0,927.8399999999999,927.8399999999999,1.0
78.64,79.12,78.40100000000002,78.96,1766191,2017-09-12,12.0,927.8399999999999,943.6800000000001,1.017071908949819
79.36,80.56,79.12100000000002,80.56,2817119,2017-09-13,12.0,927.8399999999999,952.3199999999999,1.0263838592860839
81.36,82.24,80.88,81.04,3194381,2017-09-14,12.0,927.8399999999999,976.3199999999999,1.0522503879979308
81.52,81.72,81.12,81.6,2009801,2017-09-15,12.0,927.8399999999999,978.24,1.0543197102948785
81.12,81.6,80.32,81.36,2365574,2017-09-18,24.0,1901.28,1946.88,1.0239838424640244
81.76,81.92,80.4,80.88,1898455,2017-09-19,24.0,1901.28,1962.2400000000002,1.0320626104519062
81.52,82.64,81.04,81.92,2868281,2017-09-20,24.0,1901.28,1956.48,1.0290330724564505
81.44,82.08,81.014,82.0,1448693,2017-09-21,24.0,1901.28,1954.56,1.0280232264579652
81.6,82.072,81.416,81.92,1634472,2017-09-22,24.0,1901.28,1958.3999999999999,1.0300429184549356
82.72,84.48,82.72,84.4,3730844,2017-09-25,36.0,2893.92,2977.92,1.0290263725327584
83.68,84.08,83.12,83.92,1798768,2017-09-26,36.0,2893.92,3012.4800000000005,1.0409686515176648
84.16,84.44,83.48,84.16,2002549,2017-09-27,36.0,2893.92,3029.7599999999998,1.0469397910101177
85.04,85.2,82.8,83.44,2335278,2017-09-28,36.0,2893.92,3061.44,1.0578868800796153
83.12,83.68,82.88,83.44,1639652,2017-09-29,36.0,2893.92,2992.32,1.0340023221098027
81.36,81.878,80.96,81.68,2213713,2017-10-02,48.0,3870.24,3905.2799999999997,1.009053702095994
81.68,82.0,81.28,81.44,1403845,2017-10-03,48.0,3870.24,3920.6400000000003,1.0130224482202657
81.44,81.92,80.48,80.64,1632022,2017-10-04,48.0,3870.24,3909.12,1.010045888627062
81.12,82.8,81.04,82.0,1622446,2017-10-05,48.0,3870.24,3893.76,1.0060771425027906
80.08,80.16,79.361,79.76,2938512,2017-10-06,48.0,3870.24,3843.84,0.9931787175989086
79.92,80.48,79.68,80.0,1371594,2017-10-09,60.0,4829.28,4795.2,0.9929430474107942
81.6,82.56,81.52,82.24,1938148,2017-10-10,60.0,4829.28,4896.0,1.0138157240830932
82.48,82.96,81.768,82.88,1737129,2017-10-11,60.0,4829.28,4948.8,1.0247490309114402
81.36,82.32,81.04,81.84,1901779,2017-10-12,60.0,4829.28,4881.6,1.0108339131299078
83.04,83.2,82.32,82.96,2301424,2017-10-13,60.0,4829.28,4982.400000000001,1.0317065898022066
84.24,84.32,83.36,83.68,2004898,2017-10-16,71.0,5755.92,5981.04,1.0391110369845307
83.76,84.24,82.648,83.92,2050368,2017-10-17,71.0,5755.92,5946.96,1.0331901763749323
84.08,84.4,83.4,83.84,1682235,2017-10-18,71.0,5755.92,5969.68,1.0371374167813312
82.72,83.352,82.564,82.8,1444261,2017-10-19,71.0,5755.92,5873.12,1.0203616450541355
82.32,83.52,82.28,83.44,1497844,2017-10-20,71.0,5755.92,5844.719999999999,1.0154275945461366
83.76,83.92,82.96,83.36,1418269,2017-10-23,82.0,6677.28,6868.320000000001,1.0286104521601611
83.88,84.4,83.12,84.32,2295343,2017-10-24,82.0,6677.28,6878.16,1.0300841061030839
83.84,84.16,83.36,83.84,2153873,2017-10-25,82.0,6677.28,6874.88,1.0295928881221097
83.6,84.64,83.4,84.56,1917320,2017-10-26,82.0,6677.28,6855.2,1.026645580236264
84.48,86.8,84.4,86.72,3086504,2017-10-27,82.0,6677.28,6927.360000000001,1.0374523758176983
87.2,87.44,86.44,86.96,1573171,2017-10-30,93.0,7636.48,8109.6,1.0619552463962454
86.8,87.68,86.64,87.44,1754125,2017-10-31,93.0,7636.48,8072.4,1.0570838920549783
88.24,88.48,86.56,87.2,2644006,2017-11-01,93.0,7636.48,8206.32,1.07462076768354
87.2,88.04,86.96799999999998,87.92,1259890,2017-11-02,93.0,7636.48,8109.6,1.0619552463962454
88.0,89.6,87.4,89.44,2355765,2017-11-03,93.0,7636.48,8184.0,1.0716979550787797
89.52,92.535,89.361,92.08,3842470,2017-11-06,104.0,8621.199999999999,9310.08,1.0799053496033035
91.76,92.24,91.36,91.92,2236468,2017-11-07,104.0,8621.199999999999,9543.04,1.1069271099150932
91.52,93.04,90.64,91.28,4651823,2017-11-08,104.0,8621.199999999999,9518.08,1.1040319213102585
91.36,92.4,91.2,91.68,2457473,2017-11-09,104.0,8621.199999999999,9501.44,1.1021017955737022
91.84,92.16,90.88,91.36,1462624,2017-11-10,104.0,8621.199999999999,9551.36,1.1078921727833715
91.36,91.84,90.48,91.04,1732753,2017-11-13,114.0,9534.8,10415.039999999999,1.0923186642614422
90.8,90.88,88.64,89.04,2688556,2017-11-14,114.0,9534.8,10351.199999999999,1.0856231908377731
88.64,89.2,88.16,88.72,1721941,2017-11-15,114.0,9534.8,10104.960000000001,1.0597977933464784
88.56,89.36,88.24,88.56,1528111,2017-11-16,114.0,9534.8,10095.84,1.058841297143097
89.68,90.88,89.56,90.8,2048349,2017-11-17,114.0,9534.8,10223.52,1.0722322439904353
90.16,90.32,89.2,90.24,1429745,2017-11-20,125.0,10526.56,11270.0,1.0706251614962534
90.4,91.56,90.4,91.2,1526915,2017-11-21,125.0,10526.56,11300.0,1.0734750953777872
92.4,92.96,91.76,92.8,2245271,2017-11-22,125.0,10526.56,11550.0,1.0972245443905702
93.92,94.32,93.6,94.32,1174267,2017-11-24,125.0,10526.56,11740.0,1.1152741256402852
93.2,93.4,92.08,92.72,1735046,2017-11-27,135.0,11458.56,12582.0,1.0980437332439679
92.48,93.0,92.24,92.64,1013502,2017-11-28,135.0,11458.56,12484.800000000001,1.0895609919571048
92.64,93.28,90.84,91.76,2011663,2017-11-29,135.0,11458.56,12506.4,1.0914460455764075
92.4,92.64,90.961,91.76,2227370,2017-11-30,135.0,11458.56,12474.0,1.088618465147453
93.2,94.24,92.8,93.36,1768083,2017-12-01,135.0,11458.56,12582.0,1.0980437332439679
92.32,92.64,91.775,91.92,1516423,2017-12-04,145.0,12381.76,13386.4,1.081138707259711
91.76,92.68,91.68,92.32,1613271,2017-12-05,145.0,12381.76,13305.2,1.074580673506836
91.2,91.28,89.44,89.6,2415141,2017-12-06,145.0,12381.76,13224.0,1.0680226397539607
90.16,90.88,90.068,90.64,1137035,2017-12-07,145.0,12381.76,13073.199999999999,1.0558434342129066
92.16,92.4,91.2,91.92,1178327,2017-12-08,145.0,12381.76,13363.199999999999,1.079264983330318
92.32,92.88,91.968,92.8,1793416,2017-12-11,155.0,13304.960000000001,14309.599999999999,1.0755086824763094
93.12,93.12,90.96,91.52,3098474,2017-12-12,155.0,13304.960000000001,14433.6,1.0848285150800905
91.68,91.82,90.4,90.64,2270366,2017-12-13,155.0,13304.960000000001,14210.400000000001,1.068052816393285
89.76,91.44,89.68,91.44,1133348,2017-12-14,155.0,13304.960000000001,13912.800000000001,1.045685218144211
91.76,91.92,91.16,91.68,1200736,2017-12-15,155.0,13304.960000000001,14222.800000000001,1.068984799653663
92.0,92.2,90.96,91.52,1633500,2017-12-18,165.0,14224.960000000001,15180.0,1.0671383258722695
91.84,92.08,91.6,92.08,856010,2017-12-19,165.0,14224.960000000001,15153.6,1.0652824331316222
92.32,92.96,91.84,92.88,1264716,2017-12-20,165.0,14224.960000000001,15232.8,1.0708501113535642
92.32,93.36,92.16,93.12,1391803,2017-12-21,165.0,14224.960000000001,15232.8,1.0708501113535642
92.64,93.52,92.64,93.28,823693,2017-12-22,165.0,14224.960000000001,15285.6,1.0745618968348591
93.84,95.92,93.795,95.6,2199746,2017-12-26,165.0,14224.960000000001,15483.6,1.088481092389715
95.44,95.68,94.96,95.36,1033771,2017-12-27,165.0,14224.960000000001,15747.6,1.1070400197961892
95.28,95.84,95.04,95.76,1545941,2017-12-28,165.0,14224.960000000001,15721.2,1.1051841270555418
96.16,96.72,95.84,96.08,1474681,2017-12-29,165.0,14224.960000000001,15866.4,1.1153915371291026
96.56,96.8,96.08,96.56,1497583,2018-01-02,165.0,14224.960000000001,15932.4,1.120031268980721
97.36,98.84,97.36,98.72,2155258,2018-01-03,165.0,14224.960000000001,16064.4,1.1293107326839582
98.64,99.36,98.48,98.96,1479037,2018-01-04,165.0,14224.960000000001,16275.6,1.1441578746091376
98.24,98.64,97.68,98.48,1581157,2018-01-05,165.0,14224.960000000001,16209.599999999999,1.139518142757519
98.48,99.04,98.12,99.04,1227473,2018-01-08,175.0,15209.76,17234.0,1.1330882275591463
99.28,101.12,98.96,100.56,2663004,2018-01-09,175.0,15209.76,17374.0,1.1422928435425674
101.36,101.64,100.8,101.44,1821376,2018-01-10,175.0,15209.76,17738.0,1.1662248450994623
102.08,103.36,101.6,101.6,2578790,2018-01-11,175.0,15209.76,17864.0,1.1745089994845415
101.44,103.12,101.21,102.96,2833173,2018-01-12,175.0,15209.76,17752.0,1.1671453066978046
102.48,102.88,101.44,102.08,2277795,2018-01-16,175.0,15209.76,17934.0,1.179111307476252
101.84,102.72,101.68,102.24,1992880,2018-01-17,175.0,15209.76,17822.0,1.1717476146895152
102.0,102.8,101.6,102.08,2075683,2018-01-18,175.0,15209.76,17850.0,1.1735885378861994
101.44,101.92,100.89,101.76,2167357,2018-01-19,175.0,15209.76,17752.0,1.1671453066978046
101.44,102.72,101.04,102.24,1866107,2018-01-22,184.0,16122.720000000001,18664.96,1.1576805898756537
102.72,103.92,102.62,103.76,2073245,2018-01-23,184.0,16122.720000000001,18900.48,1.1722885468456934
103.52,105.84,103.28,105.76,3267301,2018-01-24,184.0,16122.720000000001,19047.68,1.1814185199519682
106.24,106.4,104.24,104.48,2094911,2018-01-25,184.0,16122.720000000001,19548.16,1.212460428513303
104.88,106.32,104.8,105.92,3971980,2018-01-26,184.0,16122.720000000001,19297.92,1.1969394742326356
104.88,105.2,104.08,104.88,1975934,2018-01-29,193.0,17066.64,20241.84,1.1860471656986964
103.52,103.6,102.72,103.2,4300993,2018-01-30,193.0,17066.64,19979.36,1.1706674541678972
103.28,104.08,102.32,103.84,2657380,2018-01-31,193.0,17066.64,19933.04,1.167953387427168
104.64,106.08,104.24,105.92,2509162,2018-02-01,193.0,17066.64,20195.52,1.1833330989579671
104.96,105.36,103.32,104.32,3593230,2018-02-02,193.0,17066.64,20257.28,1.1869518546122728
104.24,104.56,101.84,102.16,3835139,2018-02-05,202.0,18004.8,21056.48,1.1694925797565094
101.6,103.04,101.36,101.6,2954536,2018-02-06,202.0,18004.8,20523.199999999997,1.1398738114280635
101.76,102.48,98.24,98.96,4612658,2018-02-07,202.0,18004.8,20555.52,1.1416688882964543
99.36,99.48,96.64,96.72,3407319,2018-02-08,202.0,18004.8,20070.72,1.1147427352705945
96.88,97.12,93.192,94.88,5393895,2018-02-09,202.0,18004.8,19569.76,1.0869190438105394
95.84,96.76,94.92,95.12,2038865,2018-02-12,212.0,18963.2,20318.08,1.0714478569017887
94.32,95.432,93.68,94.96,2371136,2018-02-13,212.0,18963.2,19995.84,1.054454944313196
93.84,97.8,93.52,97.44,4467412,2018-02-14,212.0,18963.2,19894.08,1.0490887613904827
96.72,98.88,95.911,98.64,2405048,2018-02-15,212.0,18963.2,20504.64,1.0812858589267633
98.16,99.52,97.76,99.04,2199660,2018-02-16,212.0,18963.2,20809.92,1.0973844076949038
99.36,100.48,98.8,99.12,2719723,2018-02-20,212.0,18963.2,21064.32,1.1107998650016875
98.64,99.52,98.24,98.32,1422518,2018-02-21,212.0,18963.2,20911.68,1.1027505906176172
99.68,101.48,99.066,100.72,2411641,2018-02-22,212.0,18963.2,21132.16,1.1143773202834963
100.88,102.56,100.76,102.16,2299848,2018-02-23,212.0,18963.2,21386.559999999998,1.1277927775902798
101.84,103.32,101.45,102.88,1747928,2018-02-26,221.0,19879.760000000002,22506.64,1.1321384161579413
102.72,102.8,100.89,101.2,2128953,2018-02-27,221.0,19879.760000000002,22701.12,1.1419212304373894
101.68,102.08,98.72,98.96,3475799,2018-02-28,221.0,19879.760000000002,22471.280000000002,1.1303597226525874
98.08,99.04,96.88,98.8,3238868,2018-03-01,221.0,19879.760000000002,21675.68,1.090339118782118
97.76,98.96,96.8,98.96,2254716,2018-03-02,221.0,19879.760000000002,21604.960000000003,1.0867817317714097
98.64,101.04,98.552,100.72,2458353,2018-03-05,231.0,20866.160000000003,22785.84,1.0919996779474517
100.96,101.08,100.04,100.56,2256982,2018-03-06,231.0,20866.160000000003,23321.76,1.1176833686696543
99.84,100.72,97.52,98.8,3119717,2018-03-07,231.0,20866.160000000003,23063.04,1.1052843455623842
98.56,98.64,96.64,97.2,2881230,2018-03-08,231.0,20866.160000000003,22767.36,1.0911140334397895
