Open,High,Low,Close,Volume,Date
77.52,77.6,75.36,76.24,4055813,2017-08-28
75.84,76.0,74.72,75.68,2447818,2017-08-29
75.2,76.32,74.88,75.04,2353951,2017-08-30
75.92,77.52,75.92,77.04,3174543,2017-08-31
76.8,77.36,76.08,77.36,2000798,2017-09-01
79.28,80.0,79.12,79.36,3074722,2017-09-05
80.16,80.72,79.68,80.32,2573199,2017-09-06
79.84,80.48,79.68,80.24,2599589,2017-09-07
79.92,80.16,77.32,77.84,3009028,2017-09-08
77.32,78.87899999999999,76.903,78.56,2050631,2017-09-11
78.64,79.12,78.40100000000001,78.96,1766191,2017-09-12
79.36,80.56,79.12100000000001,80.56,2817119,2017-09-13
81.36,82.24,80.88,81.04,3194381,2017-09-14
81.52,81.72,81.12,81.6,2009801,2017-09-15
81.12,81.6,80.32,81.36,2365574,2017-09-18
81.76,81.92,80.4,80.88,1898455,2017-09-19
81.52,82.64,81.04,81.92,2868281,2017-09-20
81.44,82.08,81.014,82.0,1448693,2017-09-21
81.6,82.072,81.416,81.92,1634472,2017-09-22
82.72,84.48,82.72,84.4,3730844,2017-09-25
83.68,84.08,83.12,83.92,1798768,2017-09-26
84.16,84.44,83.48,84.16,2002549,2017-09-27
85.04,85.2,82.8,83.44,2335278,2017-09-28
83.12,83.68,82.88,83.44,1639652,2017-09-29
81.36,81.878,80.96,81.68,2213713,2017-10-02
81.68,82.0,81.28,81.44,1403845,2017-10-03
81.44,81.92,80.48,80.64,1632022,2017-10-04
81.12,82.8,81.04,82.0,1622446,2017-10-05
80.08,80.16,79.361,79.76,2938512,2017-10-06
79.92,80.48,79.68,80.0,1371594,2017-10-09
81.6,82.56,81.52,82.24,1938148,2017-10-10
82.48,82.96,81.768,82.88,1737129,2017-10-11
81.36,82.32,81.04,81.84,1901779,2017-10-12
83.04,83.2,82.32,82.96,2301424,2017-10-13
84.24,84.32,83.36,83.68,2004898,2017-10-16
83.76,84.24,82.648,83.92,2050368,2017-10-17
84.08,84.4,83.4,83.84,1682235,2017-10-18
82.72,83.352,82.564,82.8,1444261,2017-10-19
82.32,83.52,82.28,83.44,1497844,2017-10-20
83.76,83.92,82.96,83.36,1418269,2017-10-23
83.88,84.4,83.12,84.32,2295343,2017-10-24
83.84,84.16,83.36,83.84,2153873,2017-10-25
83.6,84.64,83.4,84.56,1917320,2017-10-26
84.48,86.8,84.4,86.72,3086504,2017-10-27
87.2,87.44,86.44,86.96,1573171,2017-10-30
86.8,87.68,86.64,87.44,1754125,2017-10-31
88.24,88.48,86.56,87.2,2644006,2017-11-01
