Open,High,Low,Close,Volume,Date,POSITIONS,COST,ASSETS,PERCENTAGE
156.68,160.36,156.28,157.12,329262,2017-08-28,0.0,0.0,0.0,0.0
168.56,169.52,158.52,159.0,581055,2017-08-29,0.0,0.0,0.0,0.0
158.8,160.16,157.16,158.16,347081,2017-08-30,0.0,0.0,0.0,0.0
157.16,157.44,153.48,153.84,419097,2017-08-31,0.0,0.0,0.0,0.0
152.48,153.88,151.92,153.4,296972,2017-09-01,0.0,0.0,0.0,0.0
159.04,168.6,155.96,161.76,664788,2017-09-05,0.0,0.0,0.0,0.0
158.44,162.24,157.6,158.0,258624,2017-09-06,0.0,0.0,0.0,0.0
158.0,160.48,156.08,157.2,255989,2017-09-07,0.0,0.0,0.0,0.0
159.56,162.24,158.76,161.04,263994,2017-09-08,0.0,0.0,0.0,0.0
155.32,155.32,151.04,152.08,426984,2017-09-11,3.0,465.96,465.96,1.0
150.0,150.96,148.0,148.0,255536,2017-09-12,3.0,465.96,450.0,0.9657481328869432
148.0,148.08,142.76,142.84,251439,2017-09-13,3.0,465.96,444.0,0.9528714911151173
144.76,145.24,142.8,144.76,214992,2017-09-14,3.0,465.96,434.28,0.9320113314447592
144.16,144.16,141.96,142.28,257932,2017-09-15,3.0,465.96,432.48,0.9281483389132115
140.32,140.36,134.88,136.0,375451,2017-09-18,6.0,886.92,841.92,0.9492626166959816
136.04,137.84,135.84,136.0,271962,2017-09-19,6.0,886.92,816.24,0.9203084832904885
136.76,141.36,135.44,136.12,313613,2017-09-20,6.0,886.92,820.56,0.9251792720876741
135.8,137.76,135.4,136.12,235515,2017-09-21,6.0,886.92,814.8000000000001,0.9186848870247599
138.6,139.52,136.08,136.88,224318,2017-09-22,6.0,886.92,831.5999999999999,0.93762684345826
137.44,141.32,135.56,137.16,502357,2017-09-25,9.0,1299.24,1236.96,0.9520642837351067
136.2,137.84,134.88,135.48,333256,2017-09-26,9.0,1299.24,1225.8,0.9434746467165419
134.08,135.92,133.44,134.76,297733,2017-09-27,9.0,1299.24,1206.72,0.9287891382654475
135.08,135.28,132.56,132.68,196790,2017-09-28,9.0,1299.24,1215.72,0.9357162648933223
132.44,133.44,129.88,130.12,284166,2017-09-29,9.0,1299.24,1191.96,0.9174286505957329
129.36,129.44,126.4,127.36,282137,2017-10-02,12.0,1687.3200000000002,1552.3200000000002,0.9199914657563474
126.32,127.68,126.08,127.08,153512,2017-10-03,12.0,1687.3200000000002,1515.84,0.8983713818362846
127.36,128.28,126.76,127.32,165091,2017-10-04,12.0,1687.3200000000002,1528.32,0.9057677263352534
126.4,126.56,122.92,123.0,314065,2017-10-05,12.0,1687.3200000000002,1516.8000000000002,0.8989403314131286
123.64,126.28,123.24,123.28,349609,2017-10-06,12.0,1687.3200000000002,1483.68,0.8793115710120191
123.0,126.96,122.76,125.6,137598,2017-10-09,16.0,2179.32,1968.0,0.9030339739001155
123.64,125.8,122.5,122.92,170140,2017-10-10,16.0,2179.32,1978.24,0.9077326872602463
122.68,123.4,120.04,120.36,156281,2017-10-11,16.0,2179.32,1962.88,0.9006846172200502
120.64,121.59,118.4,119.64,204714,2017-10-12,16.0,2179.32,1930.24,0.8857074683846337
118.36,118.68,116.4,117.52,188057,2017-10-13,16.0,2179.32,1893.76,0.8689683020391681
116.2,117.12,115.12,115.4,241798,2017-10-16,20.0,2644.1200000000003,2324.0,0.8789313646884407
115.72,116.8,115.16,115.76,232487,2017-10-17,20.0,2644.1200000000003,2314.4,0.8753006671406743
115.12,115.36,114.32,115.12,214132,2017-10-18,20.0,2644.1200000000003,2302.4,0.8707622952059664
118.92,120.16,114.16,114.32,386162,2017-10-19,20.0,2644.1200000000003,2378.4,0.8995053174591168
112.6,113.08,112.0,112.2,227943,2017-10-20,20.0,2644.1200000000003,2252.0,0.8517011330801929
