OPEN,HIGH,LOW,CLOSE,Volume,Dividends,Stock Splits,CODES,DATES,POSITIONS,COST,ASSETS,PERCENTAGE
51.5300,51.8400,51.4500,51.6800,53656100,0.0000,0,QQQ,2011-01-27,0.0000,0.0000,0.0000,0.0000
51.6700,51.7200,50.1400,50.3700,123359900,0.0000,0,QQQ,2011-01-28,0.0000,0.0000,0.0000,0.0000
50.4400,50.7600,50.0600,50.6200,70571300,0.0000,0,QQQ,2011-01-31,10.0000,504.4000,504.4000,1.0000
51.0000,51.6800,50.9400,51.5600,76952900,0.0000,0,QQQ,2011-02-01,10.0000,504.4000,510.0000,1.0111
51.4600,51.6700,51.3800,51.4800,48661000,0.0000,0,QQQ,2011-02-02,10.0000,504.4000,514.6000,1.0202
51.3800,51.6500,50.9800,51.5700,45341900,0.0000,0,QQQ,2011-02-03,10.0000,504.4000,513.8000,1.0186
51.5600,51.9000,51.4300,51.8600,47647800,0.0000,0,QQQ,2011-02-04,10.0000,504.4000,515.6000,1.0222
51.9600,52.4000,51.8800,52.1100,45627100,0.0000,0,QQQ,2011-02-07,20.0000,1024.0000,1039.2000,1.0148
52.1300,52.4900,52.0300,52.4500,38099900,0.0000,0,QQQ,2011-02-08,20.0000,1024.0000,1042.6000,1.0182
52.3700,52.5300,52.2000,52.3600,62540800,0.0000,0,QQQ,2011-02-09,20.0000,1024.0000,1047.4000,1.0229
52.0200,52.5100,51.9600,52.4400,70194700,0.0000,0,QQQ,2011-02-10,20.0000,1024.0000,1040.4000,1.0160
52.2900,52.8600,52.2200,52.8200,47853500,0.0000,0,QQQ,2011-02-11,20.0000,1024.0000,1045.8000,1.0213
52.8200,53.0200,52.7700,52.9500,48506100,0.0000,0,QQQ,2011-02-14,30.0000,1552.2000,1584.6000,1.0209
52.8200,52.9400,52.6300,52.8800,39723800,0.0000,0,QQQ,2011-02-15,30.0000,1552.2000,1584.6000,1.0209
53.0100,53.3600,52.9900,53.2200,53061700,0.0000,0,QQQ,2011-02-16,30.0000,1552.2000,1590.3000,1.0245
52.9600,53.3000,52.9200,53.2000,38361900,0.0000,0,QQQ,2011-02-17,30.0000,1552.2000,1588.8000,1.0236
53.2000,53.3000,52.8800,53.0800,44334300,0.0000,0,QQQ,2011-02-18,30.0000,1552.2000,1596.0000,1.0282
52.3600,52.5400,51.4700,51.5500,92598100,0.0000,0,QQQ,2011-02-22,30.0000,1552.2000,1570.8000,1.0120
