Open,High,Low,Close,Volume,Date,POSITIONS,COST,ASSETS,PERCENTAGE
156.68,160.36,156.28,157.12,329262,2017-08-28,0.0,0.0,0.0,0.0
168.56,169.52,158.52,159.0,581055,2017-08-29,0.0,0.0,0.0,0.0
158.8,160.16,157.16,158.16,347081,2017-08-30,0.0,0.0,0.0,0.0
157.16,157.44,153.48,153.84,419097,2017-08-31,0.0,0.0,0.0,0.0
152.48,153.88,151.92,153.4,296972,2017-09-01,0.0,0.0,0.0,0.0
159.04,168.6,155.96,161.76,664788,2017-09-05,0.0,0.0,0.0,0.0
158.44,162.24,157.6,158.0,258624,2017-09-06,0.0,0.0,0.0,0.0
158.0,160.48,156.08,157.2,255989,2017-09-07,0.0,0.0,0.0,0.0
159.56,162.24,158.76,161.04,263994,2017-09-08,0.0,0.0,0.0,0.0
155.32,155.32,151.04,152.08,426984,2017-09-11,6.0,931.92,931.92,1.0
150.0,150.96,148.0,148.0,255536,2017-09-12,6.0,931.92,900.0,0.9657481328869432
148.0,148.08,142.76,142.84,251439,2017-09-13,6.0,931.92,888.0,0.9528714911151173
144.76,145.24,142.8,144.76,214992,2017-09-14,6.0,931.92,868.56,0.9320113314447592
144.16,144.16,141.96,142.28,257932,2017-09-15,6.0,931.92,864.96,0.9281483389132115
140.32,140.36,134.88,136.0,375451,2017-09-18,13.0,1914.1599999999999,1824.1599999999999,0.9529819868767501
136.04,137.84,135.84,136.0,271962,2017-09-19,13.0,1914.1599999999999,1768.52,0.9239144063192211
136.76,141.36,135.44,136.12,313613,2017-09-20,13.0,1914.1599999999999,1777.8799999999999,0.928804279684039
135.8,137.76,135.4,136.12,235515,2017-09-21,13.0,1914.1599999999999,1765.4,0.9222844485309484
138.6,139.52,136.08,136.88,224318,2017-09-22,13.0,1914.1599999999999,1801.8,0.9413006227274627
137.44,141.32,135.56,137.16,502357,2017-09-25,20.0,2876.24,2748.8,0.9556921536450367
136.2,137.84,134.88,135.48,333256,2017-09-26,20.0,2876.24,2724.0,0.9470697855533614
134.08,135.92,133.44,134.76,297733,2017-09-27,20.0,2876.24,2681.6000000000004,0.9323283175256587
135.08,135.28,132.56,132.68,196790,2017-09-28,20.0,2876.24,2701.6000000000004,0.9392818401802355
132.44,133.44,129.88,130.12,284166,2017-09-29,20.0,2876.24,2648.8,0.9209245403721527
129.36,129.44,126.4,127.36,282137,2017-10-02,27.0,3781.7599999999998,3492.7200000000003,0.9235699779996617
126.32,127.68,126.08,127.08,153512,2017-10-03,27.0,3781.7599999999998,3410.64,0.9018657979353528
127.36,128.28,126.76,127.32,165091,2017-10-04,27.0,3781.7599999999998,3438.72,0.9092909121678795
126.4,126.56,122.92,123.0,314065,2017-10-05,27.0,3781.7599999999998,3412.8,0.9024369605686242
123.64,126.28,123.24,123.28,349609,2017-10-06,27.0,3781.7599999999998,3338.28,0.882731849720765
123.0,126.96,122.76,125.6,137598,2017-10-09,35.0,4765.76,4305.0,0.9033186732021755
123.64,125.8,122.5,122.92,170140,2017-10-10,35.0,4765.76,4327.4,0.9080188679245282
122.68,123.4,120.04,120.36,156281,2017-10-11,35.0,4765.76,4293.8,0.9009685758409991
120.64,121.59,118.4,119.64,204714,2017-10-12,35.0,4765.76,4222.4,0.8859867051634995
118.36,118.68,116.4,117.52,188057,2017-10-13,35.0,4765.76,4142.6,0.8692422614651178
116.2,117.12,115.12,115.4,241798,2017-10-16,43.0,5695.360000000001,4996.6,0.8773106528823463
115.72,116.8,115.16,115.76,232487,2017-10-17,43.0,5695.360000000001,4975.96,0.873686650185414
115.12,115.36,114.32,115.12,214132,2017-10-18,43.0,5695.360000000001,4950.16,0.8691566468142486
118.92,120.16,114.16,114.32,386162,2017-10-19,43.0,5695.360000000001,5113.56,0.8978466681649623
112.6,113.08,112.0,112.2,227943,2017-10-20,43.0,5695.360000000001,4841.8,0.8501306326553545
